"PwMasterVariantId";"PwShopId";"PwMasterProductId";"Exclude";"StockedDirectly";"CogsCurrencyId";"CogsAmount";"CogsDetail"
1;1;1;0;0;1;24.0;0
2;1;1;0;0;1;112.0;0
3;1;1;0;0;1;192.0;0
4;1;1;0;0;1;480.0;0
5;1;2;0;1;1;15.75;0
6;1;2;0;1;1;15.75;0
7;1;2;0;1;1;15.75;0
8;1;2;0;1;1;15.75;0
9;1;2;0;1;1;15.75;0
10;1;2;0;1;1;15.75;0
11;1;2;0;1;1;15.75;0
12;1;2;0;1;1;15.75;0
13;1;2;0;1;1;15.75;0
14;1;2;0;1;1;15.75;0
15;1;2;0;1;1;15.75;0
16;1;2;0;1;1;15.75;0
17;1;3;0;1;1;15.75;0
18;1;3;0;1;1;15.75;0
19;1;3;0;1;1;15.75;0
20;1;3;0;1;1;15.75;0
21;1;3;0;1;1;15.75;0
22;1;3;0;1;1;15.75;0
23;1;3;0;1;1;15.75;0
24;1;3;0;1;1;15.75;0
25;1;3;0;1;1;15.75;0
26;1;3;0;1;1;15.75;0
27;1;3;0;1;1;15.75;0
28;1;3;0;1;1;15.75;0
29;1;3;0;1;1;15.75;0
30;1;3;0;1;1;15.75;0
31;1;3;0;1;1;15.75;0
32;1;3;0;1;1;15.75;0
33;1;4;0;0;1;10.0;0
34;1;4;0;0;1;30.0;0
35;1;4;0;0;1;60.0;0
36;1;4;0;0;1;100.0;0
37;1;4;0;0;1;250.0;0
38;1;4;0;0;1;500.0;0
39;1;4;0;0;1;1000.0;0
40;1;4;0;0;1;1500.0;0
41;1;4;0;0;1;2000.0;0
42;1;5;0;1;1;15.75;0
43;1;5;0;1;1;15.75;0
44;1;5;0;1;1;15.75;0
45;1;5;0;1;1;15.75;0
46;1;5;0;1;1;15.75;0
47;1;5;0;1;1;15.75;0
48;1;5;0;1;1;15.75;0
49;1;5;0;1;1;15.75;0
50;1;5;0;1;1;15.75;0
51;1;5;0;1;1;15.75;0
52;1;5;0;1;1;15.75;0
53;1;5;0;1;1;15.75;0
54;1;6;0;1;1;15.75;0
55;1;6;0;1;1;15.75;0
56;1;6;0;1;1;15.75;0
57;1;6;0;1;1;15.75;0
58;1;6;0;1;1;15.75;0
59;1;6;0;1;1;15.75;0
60;1;6;0;1;1;15.75;0
61;1;6;0;1;1;15.75;0
62;1;6;0;1;1;15.75;0
63;1;6;0;1;1;15.75;0
64;1;6;0;1;1;15.75;0
65;1;6;0;1;1;15.75;0
66;1;6;0;1;1;15.75;0
67;1;6;0;1;1;15.75;0
68;1;6;0;1;1;15.75;0
69;1;6;0;1;1;15.75;0
70;1;7;0;1;1;61.52;0
71;1;8;0;1;1;22.98;0
72;1;8;0;1;1;22.98;0
73;1;8;0;1;1;22.98;0
74;1;8;0;1;1;22.98;0
75;1;8;0;1;1;22.98;0
76;1;8;0;1;1;22.98;0
77;1;8;0;1;1;22.98;0
78;1;8;0;1;1;22.98;0
79;1;8;0;1;1;22.98;0
80;1;8;0;1;1;22.98;0
81;1;8;0;1;1;22.98;0
82;1;9;0;0;1;31.5;0
83;1;9;0;0;1;31.5;0
84;1;9;0;0;1;31.5;0
85;1;9;0;0;1;31.5;0
86;1;9;0;0;1;31.5;0
87;1;9;0;0;1;31.5;0
88;1;9;0;0;1;31.5;0
89;1;9;0;0;1;31.5;0
90;1;9;0;0;1;31.5;0
91;1;9;0;0;1;31.5;0
92;1;9;0;0;1;31.5;0
93;1;9;0;0;1;31.5;0
94;1;9;0;0;1;31.5;0
95;1;10;0;0;1;48.5;0
96;1;11;0;0;1;31.5;0
97;1;11;0;0;1;31.5;0
98;1;11;0;0;1;31.5;0
99;1;11;0;0;1;31.5;0
100;1;11;0;0;1;31.5;0
101;1;11;0;0;1;31.5;0
102;1;11;0;0;1;31.5;0
103;1;11;0;0;1;31.5;0
104;1;11;0;0;1;31.5;0
105;1;11;0;0;1;31.5;0
106;1;11;0;0;1;31.5;0
107;1;11;0;0;1;31.5;0
108;1;11;0;0;1;31.5;0
109;1;12;0;0;1;48.5;0
110;1;13;0;0;1;22.98;0
111;1;13;0;0;1;22.98;0
112;1;13;0;0;1;22.98;0
113;1;13;0;0;1;22.98;0
114;1;13;0;0;1;22.98;0
115;1;13;0;0;1;22.98;0
116;1;13;0;0;1;22.98;0
117;1;13;0;0;1;22.98;0
118;1;13;0;0;1;22.98;0
119;1;13;0;0;1;22.98;0
120;1;13;0;0;1;22.98;0
121;1;13;0;0;1;22.98;0
122;1;13;0;0;1;22.98;0
123;1;13;0;0;1;22.98;0
124;1;13;0;0;1;22.98;0
125;1;13;0;0;1;22.98;0
126;1;13;0;0;1;22.98;0
127;1;13;0;0;1;22.98;0
128;1;13;0;0;1;22.98;0
129;1;13;0;0;1;22.98;0
130;1;14;0;1;1;24.0;0
131;1;15;0;1;1;80.0;0
132;1;15;0;1;1;40.0;0
133;1;16;0;1;1;35.0;0
134;1;16;0;1;1;70.0;0
135;1;16;0;1;1;35.0;0
136;1;16;0;1;1;70.0;0
137;1;17;0;1;1;70.0;0
138;1;17;0;1;1;35.0;0
139;1;18;0;1;1;24.0;0
140;1;19;0;1;1;24.0;0
141;1;19;0;1;1;24.0;0
142;1;20;0;1;1;22.5;0
143;1;20;0;1;1;22.5;0
144;1;20;0;1;1;22.5;0
145;1;20;0;1;1;22.5;0
146;1;20;0;1;1;22.5;0
147;1;20;0;1;1;22.5;0
148;1;20;0;1;1;22.5;0
149;1;20;0;1;1;22.5;0
150;1;20;0;1;1;22.5;0
151;1;20;0;1;1;22.5;0
152;1;20;0;1;1;22.5;0
153;1;20;0;1;1;22.5;0
154;1;20;0;1;1;22.5;0
155;1;20;0;1;1;22.5;0
156;1;20;0;1;1;22.5;0
157;1;20;0;1;1;22.5;0
158;1;20;0;1;1;22.5;0
159;1;21;0;1;1;22.5;0
160;1;21;0;1;1;22.5;0
161;1;21;0;1;1;22.5;0
162;1;21;0;1;1;22.5;0
163;1;21;0;1;1;22.5;0
164;1;21;0;1;1;22.5;0
165;1;21;0;1;1;22.5;0
166;1;21;0;1;1;22.5;0
167;1;21;0;1;1;22.5;0
168;1;21;0;1;1;22.5;0
169;1;21;0;1;1;22.5;0
170;1;21;0;1;1;22.5;0
171;1;21;0;1;1;22.5;0
172;1;21;0;1;1;22.5;0
173;1;21;0;1;1;22.5;0
174;1;21;0;1;1;22.5;0
175;1;21;0;1;1;22.5;0
176;1;21;0;1;1;22.5;0
177;1;21;0;1;1;22.5;0
178;1;21;0;1;1;22.5;0
179;1;21;0;1;1;22.5;0
180;1;21;0;1;1;22.5;0
181;1;21;0;1;1;22.5;0
182;1;21;0;1;1;22.5;0
183;1;21;0;1;1;22.5;0
184;1;21;0;1;1;22.5;0
185;1;21;0;1;1;22.5;0
186;1;21;0;1;1;22.5;0
187;1;21;0;1;1;22.5;0
188;1;22;0;1;1;22.5;0
189;1;22;0;1;1;22.5;0
190;1;22;0;1;1;22.5;0
191;1;22;0;1;1;22.5;0
192;1;22;0;1;1;22.5;0
193;1;22;0;1;1;22.5;0
194;1;22;0;1;1;22.5;0
195;1;22;0;1;1;22.5;0
196;1;22;0;1;1;22.5;0
197;1;22;0;1;1;22.5;0
198;1;22;0;1;1;22.5;0
199;1;22;0;1;1;22.5;0
200;1;22;0;1;1;22.5;0
201;1;22;0;1;1;22.5;0
202;1;22;0;1;1;22.5;0
203;1;22;0;1;1;22.5;0
204;1;22;0;1;1;22.5;0
205;1;22;0;1;1;22.5;0
206;1;22;0;1;1;22.5;0
207;1;22;0;1;1;22.5;0
208;1;22;0;1;1;22.5;0
209;1;22;0;1;1;22.5;0
210;1;22;0;1;1;22.5;0
211;1;22;0;1;1;22.5;0
212;1;22;0;1;1;22.5;0
213;1;22;0;1;1;22.5;0
214;1;22;0;1;1;22.5;0
215;1;22;0;1;1;22.5;0
216;1;22;0;1;1;22.5;0
217;1;22;0;1;1;22.5;0
218;1;23;0;1;1;24.0;0
219;1;23;0;1;1;24.0;0
220;1;24;0;1;1;25.0;0
221;1;24;0;1;1;25.0;0
222;1;24;0;1;1;25.0;0
223;1;24;0;1;1;25.0;0
224;1;24;0;1;1;25.0;0
225;1;24;0;1;1;25.0;0
226;1;24;0;1;1;25.0;0
227;1;24;0;1;1;25.0;0
228;1;24;0;1;1;25.0;0
229;1;24;0;1;1;25.0;0
230;1;24;0;1;1;25.0;0
231;1;25;0;1;1;25.0;0
232;1;25;0;1;1;25.0;0
233;1;25;0;1;1;25.0;0
234;1;25;0;1;1;25.0;0
235;1;25;0;1;1;25.0;0
236;1;25;0;1;1;25.0;0
237;1;25;0;1;1;25.0;0
238;1;25;0;1;1;25.0;0
239;1;25;0;1;1;25.0;0
240;1;25;0;1;1;25.0;0
241;1;25;0;1;1;25.0;0
242;1;25;0;1;1;25.0;0
243;1;25;0;1;1;25.0;0
244;1;26;0;1;1;36.0;0
245;1;26;0;1;1;36.0;0
246;1;27;0;0;1;406.26;0
247;1;28;0;0;1;473.14;0
248;1;29;0;0;1;1303.2;0
249;1;29;0;0;1;1279.2;0
250;1;29;0;0;1;1183.2;0
251;1;29;0;0;1;1159.2;0
252;1;29;0;0;1;1263.2;0
253;1;29;0;0;1;1239.2;0
254;1;29;0;0;1;1143.2;0
255;1;29;0;0;1;1119.2;0
256;1;30;0;0;1;1463.2;0
257;1;30;0;0;1;1439.2;0
258;1;30;0;0;1;1343.2;0
259;1;30;0;0;1;1319.2;0
260;1;30;0;0;1;1423.2;0
261;1;30;0;0;1;1399.2;0
262;1;30;0;0;1;1303.2;0
263;1;30;0;0;1;1279.2;0
264;1;31;0;1;1;15.25;0
265;1;32;0;0;1;875.0;0
266;1;33;0;0;1;762.5;0
267;1;34;0;0;1;989.0;0
268;1;35;0;0;1;360.0;0
269;1;35;0;0;1;200.0;0
270;1;36;0;0;1;1206.45;0
271;1;37;0;0;1;15.25;0
272;1;38;0;0;1;37.5;0
273;1;39;0;1;1;3.58;0
274;1;40;0;0;1;445.5;0
275;1;41;0;0;1;337.5;0
276;1;41;0;0;1;315.0;0
277;1;41;0;0;1;630.0;0
278;1;41;0;0;1;652.5;0
279;1;41;0;0;1;945.0;0
280;1;41;0;0;1;967.5;0
281;1;41;0;0;1;135.0;0
282;1;41;0;0;1;270.0;0
283;1;41;0;0;1;405.0;0
284;1;42;0;0;1;1125.0;0
285;1;43;0;0;1;1975.5;0
286;1;44;0;0;1;2250.0;0
287;1;45;0;0;1;265.5;0
288;1;46;0;1;1;39.96;0
289;1;46;0;1;1;39.96;0
290;1;46;0;1;1;39.96;0
291;1;46;0;1;1;39.96;0
292;1;46;0;1;1;39.96;0
293;1;46;0;1;1;39.96;0
294;1;46;0;1;1;39.96;0
295;1;46;0;1;1;39.96;0
296;1;46;0;1;1;39.96;0
